CURSO,COD_RUCT,TITULACION,CENTRO,año,satisfaccion_alumnos,satisfaccion_profesores,diferencia_satis,satisfaccion_promedio,tasa_abandono,tasa_permanencia,autoeficacia_3_anos,nivel_autoeficacia,porcentaje_no_desempleados,porcentaje_desempleados,nivel_empleabilidad
2020-21,4316557,"MÁSTER UNIVERSITARIO EN ESTUDIOS DE LA CIENCIA, LA TECNOLOGÍA Y LA INNOVACIÓN",UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,8.0,9.17,1.17,8.585,38.1,61.9,,,,,
2020-21,4316840,MÁSTER UNIVERSITARIO EN MEJORA GENÉTICA VEGETAL,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,5.42,8.83,3.41,7.125,5.56,94.44,,,,,
2020-21,4317401,MÁSTER UNIVERSITARIO EN SOCIAL MEDIA Y COMUNICACIÓN CORPORATIVA,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,2020,5.36,8.89,3.53,7.125,,,,,,,
2020-21,4317434,MÁSTER UNIVERSITARIO EN SISTEMAS INTELIGENTES DE TRANSPORTE,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",2020,6.25,8.27,2.02,7.26,,,,,,,
2020-21,4317446,MÁSTER UNIVERSITARIO EN COMUNICACIÓN TRANSMEDIA,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2020,9.06,8.61,-0.450000000000001,8.835,,,,,,,
2020-21,4317448,MÁSTER UNIVERSITARIO EN CIBERSEGURIDAD Y CIBERINTELIGENCIA,E.T.S. DE INGENIERÍA INFORMÁTICA,2020,6.88,9.06,2.1800000000000006,7.970000000000001,,,,,,,
2020-21,4317480,MÁSTER UNIVERSITARIO EN QUÍMICA SOSTENIBLE,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,7.19,9.5,2.31,8.345,,,,,,,
2021-22,2500739,GRADO EN ARQUITECTURA TÉCNICA,E.T.S. DE INGENIERÍA DE EDIFICACIÓN,2021,6.75,8.37,1.6199999999999992,7.56,30.08,69.92,6.43,Muy alta,90.32,9.680000000000009,Excelente
2021-22,2500801,GRADO EN CIENCIAS AMBIENTALES,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2021,6.82,7.76,0.9399999999999996,7.29,15.38,84.62,5.68,Muy alta,100.0,0.0,Excelente
2021-22,2501354,GRADO EN COMUNICACIÓN AUDIOVISUAL,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2021,5.9,9.24,3.34,7.57,6.67,93.33,4.14,Media,84.21,15.790000000000006,Muy buena
2021-22,2501355,GRADO EN TURISMO,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2021,4.53,7.98,3.45,6.255000000000001,29.27,70.73,6.05,Muy alta,100.0,0.0,Excelente
2021-22,2501356,GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS,E. POLITÉCNICA SUPERIOR DE ALCOY,2021,6.53,7.63,1.0999999999999996,7.08,11.46,88.53999999999999,6.3,Muy alta,100.0,0.0,Excelente
2021-22,2501356,GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS,E.T.S. DE INGENIERIA DEL DISEÑO,2021,7.43,7.6,0.1699999999999999,7.515,8.45,91.55,5.64,Muy alta,92.73,7.269999999999996,Excelente
2021-22,2501484,GRADO EN BELLAS ARTES,FACULTAD DE BELLAS ARTES,2021,6.72,8.61,1.89,7.664999999999999,13.28,86.72,3.84,Media,82.52,17.480000000000004,Muy buena
2021-22,2501485,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,FACULTAD DE BELLAS ARTES,2021,6.79,8.87,2.079999999999999,7.83,15.18,84.82,2.57,Baja,75.0,25.0,Buena
2021-22,2501486,GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,2021,6.16,8.86,2.6999999999999997,7.51,22.22,77.78,5.28,Alta,100.0,0.0,Excelente
2021-22,2501649,GRADO EN BIOTECNOLOGÍA,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2021,6.78,8.52,1.739999999999999,7.65,15.89,84.11,5.06,Alta,96.67,3.3299999999999983,Excelente
2021-22,2501650,GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2021,7.31,8.27,0.96,7.789999999999999,14.15,85.85,5.37,Alta,100.0,0.0,Excelente
2021-22,2501651,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,E. POLITÉCNICA SUPERIOR DE ALCOY,2021,7.86,8.98,1.12,8.42,26.53,73.47,6.22,Muy alta,95.45,4.549999999999997,Excelente
2021-22,2501651,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,2021,6.25,8.73,2.4800000000000004,7.49,15.27,84.73,7.17,Muy alta,100.0,0.0,Excelente
2021-22,2501653,GRADO EN INGENIERÍA AEROESPACIAL,E.T.S. DE INGENIERIA DEL DISEÑO,2021,7.01,8.69,1.6799999999999995,7.85,5.74,94.26,6.44,Muy alta,100.0,0.0,Excelente
2021-22,2501654,GRADO EN INGENIERÍA AGROALIMENTARIA Y DEL MEDIO RURAL,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2021,7.54,8.07,0.5300000000000002,7.805,26.61,73.39,5.23,Alta,80.95,19.05,Muy buena
2021-22,2501655,GRADO EN INGENIERÍA ELÉCTRICA,E. POLITÉCNICA SUPERIOR DE ALCOY,2021,5.63,8.16,2.53,6.895,40.82,59.18,7.85,Muy alta,90.48,9.519999999999996,Excelente
2021-22,2501655,GRADO EN INGENIERÍA ELÉCTRICA,E.T.S. DE INGENIERIA DEL DISEÑO,2021,6.64,8.16,1.5200000000000005,7.4,14.29,85.71000000000001,6.77,Muy alta,100.0,0.0,Excelente
2021-22,2501656,GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA,E.T.S. DE INGENIERIA DEL DISEÑO,2021,7.7,7.67,-0.0300000000000002,7.685,9.8,90.2,6.94,Muy alta,96.08,3.9200000000000017,Excelente
2021-22,2501657,GRADO EN INGENIERÍA GEOMÁTICA Y TOPOGRAFÍA,"E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.",2021,7.02,9.11,2.09,8.065,42.35,57.65,6.82,Muy alta,100.0,0.0,Excelente
2021-22,2501658,GRADO EN INGENIERÍA DE ORGANIZACIÓN INDUSTRIAL,E.T.S.I. INDUSTRIALES,2021,7.18,8.72,1.540000000000001,7.95,5.06,94.94,7.76,Muy alta,100.0,0.0,Excelente
2021-22,2501659,GRADO EN INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES,E.T.S.I. INDUSTRIALES,2021,6.64,8.78,2.14,7.709999999999999,8.54,91.46,6.61,Muy alta,97.85,2.1500000000000057,Excelente
2021-22,2501660,GRADO EN INGENIERÍA FORESTAL Y DEL MEDIO NATURAL,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2021,6.12,8.51,2.39,7.314999999999999,32.67,67.33,5.35,Alta,92.31,7.689999999999998,Excelente
2021-22,2501661,GRADO EN INGENIERÍA INFORMÁTICA,E. POLITÉCNICA SUPERIOR DE ALCOY,2021,6.85,8.89,2.040000000000001,7.87,25.3,74.7,9.34,Muy alta,100.0,0.0,Excelente
2021-22,2501661,GRADO EN INGENIERÍA INFORMÁTICA,E.T.S. DE INGENIERÍA INFORMÁTICA,2021,6.56,8.03,1.4699999999999998,7.295,9.98,90.02,8.2,Muy alta,98.88,1.1200000000000043,Excelente
2021-22,2501662,GRADO EN INGENIERÍA QUÍMICA,E. POLITÉCNICA SUPERIOR DE ALCOY,2021,8.0,8.49,0.4900000000000002,8.245000000000001,28.85,71.15,4.83,Alta,88.89,11.11,Muy buena
2021-22,2501662,GRADO EN INGENIERÍA QUÍMICA,E.T.S.I. INDUSTRIALES,2021,6.85,8.4,1.5500000000000007,7.625,17.33,82.67,5.49,Alta,96.77,3.230000000000004,Excelente
2021-22,2501663,"GRADO EN INGENIERÍA DE SISTEMAS DE TELECOMUNICACIÓN, SONIDO E IMAGEN",ESCUELA POLITECNICA SUPERIOR DE GANDIA,2021,6.46,8.8,2.3400000000000007,7.630000000000001,38.81,61.19,6.58,Muy alta,92.31,7.689999999999998,Excelente
2021-22,2502182,GRADO EN INGENIERÍA MECÁNICA,E. POLITÉCNICA SUPERIOR DE ALCOY,2021,6.3,8.59,2.29,7.445,14.95,85.05,6.27,Muy alta,100.0,0.0,Excelente
2021-22,2502182,GRADO EN INGENIERÍA MECÁNICA,E.T.S. DE INGENIERIA DEL DISEÑO,2021,7.26,8.23,0.9700000000000006,7.745,6.43,93.57,6.23,Muy alta,97.44,2.5600000000000023,Excelente
2021-22,2502405,GRADO EN INGENIERÍA DE OBRAS PÚBLICAS,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",2021,6.96,8.36,1.3999999999999997,7.66,47.5,52.5,8.19,Muy alta,92.31,7.689999999999998,Excelente
2021-22,2502407,GRADO EN INGENIERÍA DE TECNOLOGÍAS Y SERVICIOS DE TELECOMUNICACIÓN,E.T.S.I. DE TELECOMUNICACIÓN,2021,6.77,8.46,1.6900000000000013,7.615,10.28,89.72,7.03,Muy alta,97.3,2.700000000000003,Excelente
2021-22,2502507,GRADO EN INGENIERÍA CIVIL,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",2021,6.75,8.75,2.0,7.75,20.99,79.01,6.62,Muy alta,100.0,0.0,Excelente
2021-22,2502660,GRADO EN INGENIERÍA DE LA ENERGÍA,E.T.S.I. INDUSTRIALES,2021,6.84,7.88,1.04,7.359999999999999,10.0,90.0,7.49,Muy alta,100.0,0.0,Excelente
2021-22,2502731,GRADO EN INGENIERÍA BIOMÉDICA,E.T.S.I. INDUSTRIALES,2021,6.37,7.72,1.3499999999999996,7.045,12.33,87.67,7.18,Muy alta,100.0,0.0,Excelente
2021-22,2503025,GRADO EN FUNDAMENTOS DE LA ARQUITECTURA,E.T.S. DE ARQUITECTURA,2021,7.97,7.85,-0.1200000000000001,7.91,12.96,87.03999999999999,5.47,Alta,96.34,3.6599999999999966,Excelente
2021-22,2503349,GRADO EN DISEÑO Y TECNOLOGÍAS CREATIVAS,FACULTAD DE BELLAS ARTES,2021,5.06,7.74,2.6800000000000006,6.4,3.6,96.4,,,,,
2021-22,2503504,GRADO EN TECNOLOGÍAS INTERACTIVAS,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2021,5.71,7.71,2.0,6.71,27.08,72.92,,,,,
2021-22,2503653,GRADO EN CIENCIA DE DATOS,E.T.S. DE INGENIERÍA INFORMÁTICA,2021,7.3,8.29,0.9899999999999992,7.795,6.58,93.42,,,,,
2021-22,2503930,GRADO EN TECNOLOGÍA DIGITAL Y MULTIMEDIA,E.T.S.I. DE TELECOMUNICACIÓN,2021,6.72,9.02,2.3,7.869999999999999,10.26,89.74,,,,,
2021-22,2504265,GRADO EN DISEÑO ARQUITECTÓNICO DE INTERIORES,E.T.S. DE ARQUITECTURA,2021,8.93,6.94,-1.9899999999999995,7.935,,,,,,,
2021-22,2504322,GRADO EN INGENIERÍA FÍSICA,E.T.S.I. DE TELECOMUNICACIÓN,2021,7.78,9.38,1.6000000000000003,8.58,,,,,,,
2021-22,2504353,GRADO EN MATEMÁTICAS,E.T.S.I. DE TELECOMUNICACIÓN,2021,6.39,7.08,0.6900000000000004,6.734999999999999,,,,,,,
2021-22,4310279,MÁSTER UNIVERSITARIO EN COMPUTACIÓN EN LA NUBE Y DE ALTAS PRESTACIONES / CLOUD AND HIGH-PERFORMANCE COMPUTING,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,10.0,9.17,-0.8300000000000001,9.585,11.76,88.24,7.5,Muy alta,100.0,0.0,Excelente
2021-22,4310280,MÁSTER UNIVERSITARIO EN EDIFICACIÓN,E.T.S. DE INGENIERÍA DE EDIFICACIÓN,2021,9.22,9.67,0.4499999999999993,9.445,27.78,72.22,5.21,Alta,80.0,20.0,Muy buena
2021-22,4310282,MÁSTER UNIVERSITARIO EN INGENIERÍA ACÚSTICA,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2021,7.5,7.14,-0.3600000000000003,7.32,30.0,70.0,6.75,Muy alta,50.0,50.0,Baja
2021-22,4310284,MÁSTER UNIVERSITARIO EN INGENIERÍA DE COMPUTADORES Y REDES,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,8.13,9.56,1.4299999999999995,8.845,31.25,68.75,3.33,Baja,100.0,0.0,Excelente
2021-22,4310288,"MÁSTER UNIVERSITARIO EN TRANSPORTE, TERRITORIO Y URBANISMO","E.T.S.I. CAMINOS, CANALES Y PUERTOS",2021,7.0,8.44,1.4399999999999995,7.72,18.18,81.82,2.08,Baja,100.0,0.0,Excelente
2021-22,4310468,MÁSTER UNIVERSITARIO EN SANIDAD Y PRODUCCIÓN VEGETAL,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,6.5,8.53,2.03,7.515,6.25,93.75,6.47,Muy alta,100.0,0.0,Excelente
2021-22,4310569,"MÁSTER UNIVERSITARIO EN INGENIERÍA AVANZADA DE PRODUCCIÓN, LOGÍSTICA Y CADENA DE SUMINISTRO",E.T.S.I. INDUSTRIALES,2021,8.29,9.42,1.1300000000000008,8.855,30.0,70.0,6.5,Muy alta,100.0,0.0,Excelente
2021-22,4310809,MÁSTER UNIVERSITARIO EN ARTES VISUALES Y MULTIMEDIA,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,7.0,9.5,2.5,8.25,9.09,90.91,6.02,Muy alta,100.0,0.0,Excelente
2021-22,4310811,MÁSTER UNIVERSITARIO EN SEGURIDAD INDUSTRIAL Y MEDIO AMBIENTE,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,,6.25,,,8.33,91.67,2.5,Baja,100.0,0.0,Excelente
2021-22,4310813,"MÁSTER UNIVERSITARIO EN GESTIÓN DE EMPRESAS, PRODUCTOS Y SERVICIOS",FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,2021,8.96,10.0,1.0399999999999991,9.48,21.74,78.26,5.75,Muy alta,100.0,0.0,Excelente
2021-22,4310814,MÁSTER UNIVERSITARIO EN DIRECCIÓN FINANCIERA Y FISCAL,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,2021,7.92,8.75,0.8300000000000001,8.335,15.79,84.21000000000001,6.25,Muy alta,100.0,0.0,Excelente
2021-22,4310898,MÁSTER UNIVERSITARIO EN DIRECCIÓN Y GESTIÓN DE PROYECTOS,E.T.S.I. INDUSTRIALES,2021,8.33,8.13,-0.1999999999999993,8.23,25.93,74.07,6.46,Muy alta,75.0,25.0,Buena
2021-22,4310960,MÁSTER UNIVERSITARIO EN GESTIÓN CULTURAL,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,4.26,8.93,4.67,6.595,5.0,95.0,1.62,Muy baja,50.0,50.0,Baja
2021-22,4310963,"MÁSTER UNIVERSITARIO EN ARQUITECTURA AVANZADA, PAISAJE, URBANISMO Y DISEÑO",E.T.S. DE ARQUITECTURA,2021,5.96,8.68,2.72,7.32,17.07,82.93,1.56,Muy baja,100.0,0.0,Excelente
2021-22,4310964,MÁSTER UNIVERSITARIO EN AUTOMÁTICA E INFORMÁTICA INDUSTRIAL,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,5.97,8.86,2.89,7.414999999999999,10.71,89.28999999999999,,,,,
2021-22,4310965,MÁSTER UNIVERSITARIO EN CIENCIA E INGENIERÍA DE LOS ALIMENTOS,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2021,5.94,9.38,3.4400000000000004,7.66,15.63,84.37,5.69,Muy alta,88.89,11.11,Muy buena
2021-22,4310966,MÁSTER UNIVERSITARIO EN CONSERVACIÓN DEL PATRIMONIO ARQUITECTÓNICO,E.T.S. DE ARQUITECTURA,2021,6.5,7.86,1.3600000000000003,7.18,23.08,76.92,6.57,Muy alta,87.5,12.5,Muy buena
2021-22,4310967,MÁSTER UNIVERSITARIO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,5.69,9.07,3.38,7.380000000000001,7.89,92.11,2.81,Baja,75.0,25.0,Buena
2021-22,4310968,MÁSTER UNIVERSITARIO EN CONSTRUCCIONES E INSTALACIONES INDUSTRIALES,E.T.S.I. INDUSTRIALES,2021,8.0,9.71,1.7100000000000009,8.855,0.0,100.0,6.67,Muy alta,100.0,0.0,Excelente
2021-22,4310969,MÁSTER UNIVERSITARIO EN DISEÑO Y FABRICACIÓN INTEGRADA ASISTIDOS POR COMPUTADOR,E.T.S. DE INGENIERIA DEL DISEÑO,2021,7.5,9.17,1.67,8.335,11.54,88.46000000000001,6.3,Muy alta,100.0,0.0,Excelente
2021-22,4310971,MÁSTER UNIVERSITARIO EN INGENIERÍA DE SISTEMAS ELECTRÓNICOS,E.T.S.I. DE TELECOMUNICACIÓN,2021,8.06,8.86,0.7999999999999989,8.46,10.34,89.66,7.5,Muy alta,100.0,0.0,Excelente
2021-22,4310972,MÁSTER UNIVERSITARIO EN INGENIERÍA Y TECNOLOGÍA DE SISTEMAS SOFTWARE,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,8.0,8.75,0.75,8.375,16.67,83.33,5.0,Alta,100.0,0.0,Excelente
2021-22,4310973,MÁSTER UNIVERSITARIO EN INGENIERÍA DEL DISEÑO,E.T.S. DE INGENIERIA DEL DISEÑO,2021,7.17,8.46,1.290000000000001,7.815,7.27,92.73,6.27,Muy alta,100.0,0.0,Excelente
2021-22,4310974,MÁSTER UNIVERSITARIO EN INGENIERÍA DEL HORMIGÓN,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,8.91,8.91,0.0,8.91,25.81,74.19,5.89,Muy alta,100.0,0.0,Excelente
2021-22,4310975,MÁSTER UNIVERSITARIO EN INGENIERÍA DEL MANTENIMIENTO,E.T.S. DE INGENIERIA DEL DISEÑO,2021,8.13,10.0,1.8699999999999992,9.065,16.67,83.33,5.63,Muy alta,100.0,0.0,Excelente
2021-22,4310976,MÁSTER UNIVERSITARIO EN PLANIFICACIÓN Y GESTIÓN EN INGENIERÍA CIVIL,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",2021,9.17,8.96,-0.209999999999999,9.065,25.93,74.07,4.26,Media,50.0,50.0,Baja
2021-22,4310977,MÁSTER UNIVERSITARIO EN INGENIERÍA HIDRÁULICA Y MEDIO AMBIENTE,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,8.98,9.3,0.3200000000000003,9.14,11.11,88.89,3.06,Baja,100.0,0.0,Excelente
2021-22,4310978,MÁSTER UNIVERSITARIO EN INGENIERÍA MECÁNICA,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,7.22,10.0,2.78,8.61,13.64,86.36,6.03,Muy alta,100.0,0.0,Excelente
2021-22,4310979,"MÁSTER UNIVERSITARIO EN INTELIGENCIA ARTIFICIAL, RECONOCIMIENTO DE FORMAS E IMAGEN DIGITAL",UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,8.65,9.55,0.9000000000000004,9.1,8.82,91.18,7.08,Muy alta,100.0,0.0,Excelente
2021-22,4310980,MÁSTER UNIVERSITARIO EN SISTEMAS PROPULSIVOS PARA UNA MOVILIDAD SOSTENIBLE,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,7.11,10.0,2.89,8.555,0.0,100.0,4.67,Alta,100.0,0.0,Excelente
2021-22,4310981,MÁSTER UNIVERSITARIO EN TECNOLOGÍA ENERGÉTICA PARA DESARROLLO SOSTENIBLE,E.T.S.I. INDUSTRIALES,2021,7.19,9.17,1.9799999999999995,8.18,8.33,91.67,7.07,Muy alta,100.0,0.0,Excelente
2021-22,4310982,"MÁSTER UNIVERSITARIO EN TECNOLOGÍAS, SISTEMAS Y REDES DE COMUNICACIONES",E.T.S.I. DE TELECOMUNICACIÓN,2021,8.98,8.85,-0.1300000000000007,8.915,10.81,89.19,6.29,Muy alta,100.0,0.0,Excelente
2021-22,4311602,MÁSTER UNIVERSITARIO EN BIOTECNOLOGÍA BIOMÉDICA,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,5.0,8.21,3.210000000000001,6.605,0.0,100.0,3.87,Media,85.71,14.290000000000006,Muy buena
2021-22,4311603,MÁSTER UNIVERSITARIO EN BIOTECNOLOGÍA MOLECULAR Y CELULAR DE PLANTAS,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,5.2,9.13,3.9300000000000006,7.165000000000001,0.0,100.0,3.06,Baja,100.0,0.0,Excelente
2021-22,4311604,MÁSTER UNIVERSITARIO EN ECONOMÍA AGROALIMENTARIA Y DEL MEDIO AMBIENTE,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,10.0,9.53,-0.4700000000000006,9.765,31.82,68.18,6.67,Muy alta,100.0,0.0,Excelente
2021-22,4311605,MÁSTER UNIVERSITARIO EN GESTIÓN DE LA SEGURIDAD Y CALIDAD ALIMENTARIA,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2021,5.68,9.5,3.82,7.59,6.98,93.02,5.21,Alta,92.31,7.689999999999998,Excelente
2021-22,4311606,"MÁSTER UNIVERSITARIO EN INGENIERÍA DE ANÁLISIS DE DATOS, MEJORA DE PROCESOS Y TOMA DE DECISIONES",UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,9.5,10.0,0.5,9.75,14.29,85.71000000000001,9.41,Muy alta,100.0,0.0,Excelente
2021-22,4311609,MÁSTER UNIVERSITARIO EN LENGUAS Y TECNOLOGÍA,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,10.0,9.5,-0.5,9.75,14.29,85.71000000000001,7.5,Muy alta,100.0,0.0,Excelente
2021-22,4311610,MÁSTER UNIVERSITARIO EN MEJORA GENÉTICA ANIMAL Y BIOTECNOLOGÍA DE LA REPRODUCCIÓN,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,8.86,,,,17.65,82.35,4.24,Media,100.0,0.0,Excelente
2021-22,4311612,MÁSTER UNIVERSITARIO EN POSTPRODUCCIÓN DIGITAL,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2021,7.0,7.81,0.8099999999999996,7.404999999999999,4.35,95.65,2.88,Baja,80.0,20.0,Muy buena
2021-22,4311613,MÁSTER UNIVERSITARIO EN PREVENCIÓN DE RIESGOS LABORALES,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,4.31,7.76,3.45,6.035,22.5,77.5,6.47,Muy alta,100.0,0.0,Excelente
2021-22,4311614,MÁSTER UNIVERSITARIO EN PRODUCCIÓN ARTÍSTICA,FACULTAD DE BELLAS ARTES,2021,5.0,8.53,3.53,6.765,10.75,89.25,4.0,Media,80.0,20.0,Muy buena
2021-22,4311725,MÁSTER UNIVERSITARIO EN COOPERACIÓN AL DESARROLLO,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,10.0,7.86,-2.14,8.93,12.5,87.5,2.46,Baja,85.71,14.290000000000006,Muy buena
2021-22,4311726,MÁSTER UNIVERSITARIO EN INGENIERÍA AMBIENTAL,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",2021,6.09,8.41,2.3200000000000003,7.25,16.67,83.33,5.14,Alta,100.0,0.0,Excelente
2021-22,4312033,MÁSTER UNIVERSITARIO EN ACUICULTURA,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,5.63,7.5,1.87,6.565,21.43,78.57,5.63,Muy alta,100.0,0.0,Excelente
2021-22,4312991,MÁSTER UNIVERSITARIO EN EVALUACIÓN Y SEGUIMIENTO AMBIENTAL DE ECOSISTEMAS MARINOS Y COSTEROS,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2021,7.5,8.75,1.25,8.125,16.67,83.33,4.69,Alta,100.0,0.0,Excelente
2021-22,4313930,MÁSTER UNIVERSITARIO EN INVESTIGACIÓN MATEMÁTICA,UNIDAD DE MÁSTERES UNIVERSITARIOS,2021,7.22,8.69,1.4699999999999998,7.955,29.41,70.59,6.25,Muy alta,100.0,0.0,Excelente
2021-22,4314065,"MÁSTER UNIVERSITARIO EN INGENIERÍA, PROCESADO Y CARACTERIZACIÓN DE MATERIALES",E. POLITÉCNICA SUPERIOR DE ALCOY,2021,7.5,8.16,0.6600000000000001,7.83,22.22,77.78,4.52,Alta,100.0,0.0,Excelente
2021-22,4314067,MÁSTER UNIVERSITARIO EN INGENIERÍA MECATRÓNICA,E.T.S. DE INGENIERIA DEL DISEÑO,2021,5.65,8.33,2.68,6.99,11.43,88.57,8.14,Muy alta,100.0,0.0,Excelente
2021-22,4314071,MÁSTER UNIVERSITARIO EN INGENIERÍA DE ORGANIZACIÓN Y LOGÍSTICA,E. POLITÉCNICA SUPERIOR DE ALCOY,2021,9.17,8.63,-0.5399999999999991,8.9,10.71,89.28999999999999,6.45,Muy alta,87.5,12.5,Muy buena
2021-22,4314473,MÁSTER UNIVERSITARIO EN INGENIERÍA DE MONTES,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2021,5.5,7.97,2.47,6.734999999999999,7.69,92.31,6.25,Muy alta,100.0,0.0,Excelente
2021-22,4314518,MÁSTER UNIVERSITARIO EN INGENIERÍA DE TELECOMUNICACIÓN,E.T.S.I. DE TELECOMUNICACIÓN,2021,4.38,8.82,4.44,6.6,0.0,100.0,7.14,Muy alta,100.0,0.0,Excelente
2021-22,4314521,MÁSTER UNIVERSITARIO EN INGENIERÍA AERONÁUTICA,E.T.S. DE INGENIERIA DEL DISEÑO,2021,4.46,9.03,4.569999999999999,6.744999999999999,6.19,93.81,5.58,Muy alta,92.31,7.689999999999998,Excelente
2021-22,4314523,MÁSTER UNIVERSITARIO EN INGENIERÍA QUÍMICA,E.T.S.I. INDUSTRIALES,2021,5.63,8.36,2.7299999999999995,6.994999999999999,5.77,94.23,5.51,Muy alta,100.0,0.0,Excelente
2021-22,4314524,MÁSTER UNIVERSITARIO EN INGENIERÍA INDUSTRIAL,E.T.S.I. INDUSTRIALES,2021,5.39,8.69,3.3,7.039999999999999,6.33,93.67,7.19,Muy alta,100.0,0.0,Excelente
2021-22,4314526,MÁSTER UNIVERSITARIO EN INGENIERÍA INFORMÁTICA,E.T.S. DE INGENIERÍA INFORMÁTICA,2021,6.11,7.6,1.489999999999999,6.855,21.43,78.57,9.58,Muy alta,100.0,0.0,Excelente
2021-22,4314528,MÁSTER UNIVERSITARIO EN ENOLOGÍA,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2021,7.5,9.44,1.9399999999999995,8.469999999999999,15.0,85.0,3.47,Baja,75.0,25.0,Buena
2021-22,4314529,MÁSTER UNIVERSITARIO EN INGENIERÍA AGRONÓMICA,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2021,6.21,8.35,2.14,7.279999999999999,3.7,96.3,6.87,Muy alta,100.0,0.0,Excelente
2021-22,4314646,MÁSTER UNIVERSITARIO EN INGENIERÍA GEOMÁTICA Y GEOINFORMACIÓN,"E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.",2021,8.0,9.38,1.3800000000000008,8.690000000000001,31.82,68.18,5.0,Alta,100.0,0.0,Excelente
2021-22,4314647,"MÁSTER UNIVERSITARIO EN INGENIERÍA DE CAMINOS, CANALES Y PUERTOS","E.T.S.I. CAMINOS, CANALES Y PUERTOS",2021,5.78,8.59,2.81,7.1850000000000005,12.2,87.8,6.74,Muy alta,88.89,11.11,Muy buena
